final,org,project,amount,Ocena Organizacyjna,Średnia Ocena Merytoryczna,Ocena Strategiczna
73.40,Fundacja Panoptykon,Akademia Praw Cyfrowych. Rozwój zasobów edukacyjnych i kształcenie kadr,100000.00,7.00,54.40,12
84.00,Fundacja Dom Kultury,W Kratkę - eWKratke,30000.00,6.00,51.00,27
0,Fundacja Sztuki Filmowej TAKI JESTEM,Edukacja filmowa w kontekście nowej podstawy programowej. Ogólnopolskie warsztaty filmoznawcze.,0.00,,,nd
64.80,"Centrum Kultury ""Dworek Białoprądnicki""",Laboratorium Mediów Dziecięcych,0.00,3.00,43.80,18
67.00,Fundacja ECO-INNOVA,Warsztaty medialne w województwie dolnośląskim,0.00,6.00,41.00,20
73.40,Stowarzyszenie „Na co dzień i od święta”,Laboratorium mediów - druga edycja,25000.00,7.00,46.40,20
63.00,Fundacja Archipelag Innowacji Społecznych,Wziąć komputerowego byka za rogi.,0.00,6.00,39.00,18
76.00,Łódzkie Stowarzyszenie Inicjatyw Miejskich TOPOGRAFIE,Mediokracja 3D,40000.00,5.00,46.00,25
48.40,STOWARZYSZENIE HARCERSKIE IM. ANDRZEJA MAŁKOWSKIEGO,Rodzina kompetentna medialnie,0.00,5.00,28.40,15
85.75,Wojewódzka i Miejska Biblioteka Publiczna im. Josepha Conrada Korzeniowskiego w Gdańsku,Bibliocamp 2014,40000.00,7.00,51.75,27
69.80,Fundacja Spichlerz Kultury,Telewizja uśmiechu- projekt edukacji medialnej dla dzieci zagrożonych wykluczeniem.,0.00,6.00,47.80,16
0,Fundacja Ortus,Medialab Poznań 2014. Pięć lat obozu kultury 2.0 ,0.00,,,nd
71.75,Biuro Festiwalowe IMPART 2016,Cyber akademia,0.00,6.00,47.75,18
73.00,Stowarzyszenie Mierz Wysoko,Rozkręcamy społecznie - młodzież lokalnie zaangażowana tworzy filmowe reklamy społeczne,35000.00,6.00,46.00,21
70.40,"Fundacja Twórczości, Edukacji i Animacji Młodzieży - ""Teatrikon""",I LUB YOU - lubelski młodzieżowy portal informacyjno-społecznościowy,0.00,7.00,46.40,17
77.20,Małopolski Instytut Kultury,Maszynownia. Zasilanie kultury.,45000.00,6.00,48.20,23
80.40,"Ośrodek ""Brama Grodzka - Teatr NN""",Remiks dokumentalny,41000.00,7.00,48.40,25
62.20,Trafostacja Sztuki w Szczecinie,"Złap sztukę w sieci - warsztaty dla dzieci, młodzieży i seniorów z kompetencji medialnych w świecie sztuki",0.00,4.00,38.20,20
59.20,Nowohuckie Centrum Kultury,"W informacyjnym labiryncie, czyli jak skutecznie i bezpiecznie korzystać ze świata współczesnych mediów?",0.00,5.00,34.20,20
76.60,Kulturaonline.pl Sp. z o.o.,"""Jak odróżnić ziarno od plew- czyli w poszukiwaniu wartościowych źródeł""",90000.00,5.00,46.60,25
0,Fundacja Culture Shock,Mediaspołecznicy,0.00,,,nd
0,Stowarzyszenie Media Polanie,KIERUNEK : MEDIA LOKALNE,0.00,,,nd
